RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,559,Spain,Male,43,8,117382.78277311084,2,1,1,31544.528867125988,0
1,1001,Surname_1,778,France,Female,33,5,151044.33284042004,1,1,0,102212.66886417745,0
2,1002,Surname_2,686,Spain,Male,25,2,154698.7782976291,1,0,0,68222.40952807906,1
3,1003,Surname_3,592,Spain,Female,47,0,30965.965820745427,1,1,1,184415.6487662528,1
4,1004,Surname_4,579,France,Female,49,8,195604.1273190292,3,1,1,103389.20901322913,1
5,1005,Surname_5,523,France,Female,84,4,194355.23380848818,1,1,0,118594.46059624838,0
6,1006,Surname_6,417,Spain,Female,67,0,55928.86524327634,1,1,1,199678.156996243,1
7,1007,Surname_7,503,France,Female,42,8,229071.33951391958,1,0,1,118379.73825513094,1
8,1008,Surname_8,400,Spain,Female,36,3,69512.24628014951,1,0,0,7921.6083561102005,0
9,1009,Surname_9,415,Germany,Female,67,3,60553.49088917397,2,1,0,163743.72927332367,1
10,1010,Surname_10,812,Spain,Female,85,4,50860.291421651214,2,0,0,151624.52082974295,1
11,1011,Surname_11,704,Germany,Female,62,6,39187.03923383696,1,0,0,44200.19451070143,1
12,1012,Surname_12,445,Germany,Female,78,3,14950.945409690914,1,0,0,147191.8810160285,1
13,1013,Surname_13,741,France,Female,59,5,186945.53290917937,3,0,1,167635.44328362765,1
14,1014,Surname_14,436,Spain,Male,45,6,144877.7547008953,3,1,0,191853.77385232292,0
15,1015,Surname_15,732,France,Female,57,2,155011.22043330714,2,1,1,46230.753944023054,1
16,1016,Surname_16,461,Germany,Male,66,0,37372.29823639998,2,1,1,119396.28745249599,1
17,1017,Surname_17,655,Spain,Male,81,9,119143.93867975695,3,0,0,106637.42567399294,0
18,1018,Surname_18,602,France,Male,75,6,245298.86553343228,3,0,1,52231.038305537884,0
19,1019,Surname_19,437,Germany,Male,46,6,156923.96516805905,3,1,0,7524.270664861652,1
20,1020,Surname_20,631,France,Female,31,4,90823.00119810535,2,0,0,168226.09987842536,0
21,1021,Surname_21,758,Germany,Female,19,2,93203.50087124956,3,0,0,38723.72435425893,1
22,1022,Surname_22,762,France,Female,58,7,34232.40309478398,3,1,0,66865.49805618617,0
23,1023,Surname_23,702,Spain,Male,44,2,220669.29030050457,2,0,0,51124.247952743615,1
24,1024,Surname_24,422,France,Female,73,4,201436.3934803068,3,1,1,132644.69773371832,1
25,1025,Surname_25,687,Spain,Female,35,5,129374.4608732041,2,0,0,103194.38890790162,1
26,1026,Surname_26,775,France,Male,21,6,139124.38346240344,1,1,1,118949.75112109397,1
27,1027,Surname_27,635,Spain,Male,74,1,108202.43843886316,2,1,1,49220.938524996425,0
28,1028,Surname_28,726,Germany,Female,36,4,157595.1112478009,2,0,1,194975.40922862844,0
29,1029,Surname_29,685,France,Female,86,4,59307.99683438817,3,0,1,54359.85833651311,0
30,1030,Surname_30,593,France,Female,31,3,163539.93996589843,3,0,1,137302.8219875748,1
31,1031,Surname_31,667,Spain,Female,65,8,168804.26667844199,2,1,1,180544.11405951492,1
32,1032,Surname_32,658,Germany,Female,18,0,5897.007520316189,1,0,0,6281.013818517327,0
33,1033,Surname_33,574,France,Female,49,3,217312.21034843658,1,1,1,146518.91476851827,0
34,1034,Surname_34,514,Germany,Female,78,4,231030.4026037521,3,0,1,132931.70143591208,0
35,1035,Surname_35,759,France,Female,40,9,50640.847712219525,1,1,1,16263.227050267897,0
36,1036,Surname_36,623,France,Female,65,2,185481.35518863559,3,1,1,130751.19413962324,0
37,1037,Surname_37,811,France,Male,66,0,69593.10899563023,1,1,1,67514.40736883608,0
38,1038,Surname_38,821,Germany,Male,64,3,14258.90414932493,3,0,1,4458.808051556151,0
39,1039,Surname_39,451,Spain,Female,64,1,182610.62031999748,3,0,1,30989.452739630393,1
40,1040,Surname_40,719,France,Female,51,1,212553.62168550643,3,1,0,98961.53113954638,0
41,1041,Surname_41,566,Germany,Male,76,1,103101.35487556458,2,0,0,192692.3948360401,1
42,1042,Surname_42,656,Germany,Female,49,7,203914.54794544092,1,1,0,150002.68472655953,1
43,1043,Surname_43,429,Germany,Male,45,8,33960.28913531443,2,0,0,197556.3675955256,0
44,1044,Surname_44,497,Spain,Female,79,8,150479.8154978506,2,0,0,5547.567558613145,0
45,1045,Surname_45,704,France,Male,35,6,8545.097257082301,3,0,0,191696.84295992172,0
46,1046,Surname_46,470,France,Male,35,5,69236.4525372435,1,1,1,122730.71905163163,1
47,1047,Surname_47,541,Germany,Male,18,5,205408.33036245048,1,1,1,181128.98004694996,0
48,1048,Surname_48,738,Germany,Female,51,2,226664.6720478756,3,1,1,141697.39789778332,1
49,1049,Surname_49,772,Spain,Male,33,6,75933.9629196617,3,1,0,41123.9215682752,1
50,1050,Surname_50,691,Spain,Female,83,3,23175.044063457524,3,0,0,199476.67934624868,1
51,1051,Surname_51,619,France,Female,52,0,99233.33234057804,1,0,0,59916.47091952267,0
52,1052,Surname_52,573,France,Male,32,8,17614.09260300173,2,0,0,86797.83198365005,1
53,1053,Surname_53,700,France,Male,63,6,138242.13001802014,2,1,1,84597.95589881981,1
54,1054,Surname_54,495,France,Male,89,6,9818.650955688818,1,0,1,145157.19485216567,1
55,1055,Surname_55,834,France,Male,77,5,54430.9516872995,3,1,0,37481.41504474739,0
56,1056,Surname_56,761,France,Female,47,6,107160.15502352954,2,0,1,187494.51672442185,1
57,1057,Surname_57,576,France,Male,49,6,27761.832696154925,1,0,1,97791.78651852664,0
58,1058,Surname_58,559,Spain,Male,32,0,109385.08068388072,2,1,0,162721.81252613262,1
59,1059,Surname_59,501,Germany,Male,76,5,110662.86383794935,2,1,0,28142.303554507133,0
60,1060,Surname_60,621,France,Female,30,9,33353.66238892032,2,0,0,57122.88005534786,0
61,1061,Surname_61,416,Germany,Female,21,2,84552.5113646964,3,1,0,139182.9777429647,0
62,1062,Surname_62,752,Germany,Male,68,0,176563.70249503528,2,1,0,122020.7161398094,0
63,1063,Surname_63,571,Spain,Female,50,6,168738.58453520303,2,1,0,85028.56790802992,1
64,1064,Surname_64,528,France,Female,25,8,159699.03877899994,2,1,1,81341.95511824274,1
65,1065,Surname_65,612,France,Male,89,3,56795.50245663315,3,1,0,67763.52950990475,0
66,1066,Surname_66,744,Spain,Female,82,6,102300.542569415,3,1,1,177466.78100771998,0
67,1067,Surname_67,837,Germany,Female,87,0,27033.247728212667,3,1,0,36633.23241886587,1
68,1068,Surname_68,442,Spain,Male,88,8,149677.34464396973,2,0,1,107393.13198593631,0
69,1069,Surname_69,531,Spain,Male,23,3,30137.895810427057,1,0,0,100818.93577126757,1
70,1070,Surname_70,497,Germany,Male,39,6,186764.83323046792,3,1,0,15227.338858639141,0
71,1071,Surname_71,559,Spain,Male,50,0,72647.31085697173,1,1,0,1063.510504715931,0
72,1072,Surname_72,720,France,Male,49,8,156918.57546711556,3,0,0,170326.102364141,1
73,1073,Surname_73,795,Spain,Female,73,2,86055.37615944803,3,1,1,18349.722233088305,0
74,1074,Surname_74,713,Germany,Female,25,6,104977.8106636754,3,1,1,92433.49721059701,0
75,1075,Surname_75,565,France,Male,38,2,71766.27649116232,2,0,1,11327.840221263168,1
76,1076,Surname_76,644,Spain,Female,36,3,55996.642325312096,3,1,0,76390.53912894892,1
77,1077,Surname_77,570,France,Male,64,5,28725.43835127986,3,1,1,147304.84140480112,0
78,1078,Surname_78,560,Germany,Male,49,2,218589.46137247726,3,0,0,80024.1435590372,0
79,1079,Surname_79,824,Germany,Female,22,6,6802.706558571542,1,1,0,71700.87511191018,1
80,1080,Surname_80,502,France,Female,59,5,217298.995407215,2,1,1,112053.66713480347,0
81,1081,Surname_81,632,Germany,Male,23,1,69141.33457559596,2,1,1,173139.25050322342,0
82,1082,Surname_82,785,Germany,Female,63,2,205493.76167506725,3,1,1,104577.3723252771,1
83,1083,Surname_83,673,France,Male,39,7,36677.76532988543,2,0,1,75940.09598464124,1
84,1084,Surname_84,609,France,Male,23,6,76531.1125536478,3,0,0,51398.910739077204,1
85,1085,Surname_85,727,Spain,Female,76,8,23898.28091997745,1,1,0,134582.60401853148,0
86,1086,Surname_86,820,Germany,Male,54,2,104640.80399945042,2,0,1,116621.53336273858,0
87,1087,Surname_87,456,Spain,Female,18,5,249590.5262830855,3,1,0,133154.05962787475,0
88,1088,Surname_88,587,Spain,Male,31,1,168135.70096017356,3,1,1,160188.36415173896,0
89,1089,Surname_89,702,Spain,Female,79,8,59105.03457532964,1,0,1,124294.01095344253,1
90,1090,Surname_90,435,Spain,Female,18,4,130082.21289165533,1,1,0,144281.8698416658,1
91,1091,Surname_91,508,Spain,Female,81,6,150155.43581209358,1,1,1,76682.86773631751,1
92,1092,Surname_92,817,France,Male,29,0,33406.14853324028,2,0,0,74838.24018939475,0
93,1093,Surname_93,483,France,Male,38,9,76386.18450010878,3,1,1,105572.71487148384,0
94,1094,Surname_94,469,Germany,Female,23,6,61716.11413487898,2,0,1,160656.17986646786,1
95,1095,Surname_95,624,Germany,Male,70,5,236292.6585927739,1,1,1,13761.260505374328,0
96,1096,Surname_96,630,Spain,Female,44,7,125698.06558460412,3,1,0,101588.90104648538,0
97,1097,Surname_97,433,Germany,Female,48,2,98996.4800059559,3,0,1,126242.01740872172,1
98,1098,Surname_98,775,Spain,Female,76,9,180911.10913117538,2,1,0,99615.2452075852,1
99,1099,Surname_99,646,France,Female,76,1,93397.75633979567,3,1,0,53906.69484035037,1
