RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,707,France,Female,51,8,119110.55309901702,2,1,1,81797.24449656303,0
1,1001,Surname_1,471,Spain,Male,27,6,158901.28541429856,2,1,0,64521.722276256616,1
2,1002,Surname_2,613,Spain,Male,30,3,20153.11282023005,1,0,1,176787.28151358268,1
3,1003,Surname_3,636,Germany,Male,25,1,245136.89165250666,1,0,1,149537.45132990892,0
4,1004,Surname_4,772,Germany,Female,65,3,126391.30513600532,2,1,1,184010.76192275752,0
5,1005,Surname_5,723,France,Male,77,1,148728.82544356215,3,1,1,42136.5088959274,0
6,1006,Surname_6,750,Germany,Male,89,4,219037.872434808,3,1,1,54404.661268810196,1
7,1007,Surname_7,546,Germany,Female,27,0,177412.91266684016,3,1,1,94355.62894024984,1
8,1008,Surname_8,687,Germany,Male,24,9,214648.18341456578,2,0,0,188053.67075991715,1
9,1009,Surname_9,646,Germany,Male,18,0,222716.77299530726,1,1,1,83735.49509883704,1
10,1010,Surname_10,603,Spain,Male,29,8,27500.375066250137,2,1,0,73606.6799064493,0
11,1011,Surname_11,500,Germany,Female,50,6,102422.93233758434,3,1,0,20978.669162490183,0
12,1012,Surname_12,655,Germany,Male,72,7,98069.85055848649,2,1,0,57342.74133978356,0
13,1013,Surname_13,753,France,Female,75,3,47910.99060730633,3,1,0,52552.53552881607,1
14,1014,Surname_14,639,Germany,Female,21,3,44159.592004649865,2,1,0,161977.05055660347,0
15,1015,Surname_15,712,Germany,Male,65,3,111169.03236140136,1,1,0,175947.10906142453,0
16,1016,Surname_16,625,Spain,Male,26,7,33645.30978024455,2,0,1,121177.78706528067,0
17,1017,Surname_17,712,Spain,Male,81,6,40801.736426517076,2,1,0,79246.11769419722,1
18,1018,Surname_18,410,Germany,Female,78,2,8970.836678277721,1,1,1,137308.98900502923,0
19,1019,Surname_19,406,Germany,Male,19,6,58856.62502487315,2,0,0,152077.14972466725,0
20,1020,Surname_20,615,Germany,Female,85,6,82032.91997999756,3,1,1,135231.02622439296,1
21,1021,Surname_21,710,France,Male,88,0,184406.09874954342,1,1,0,48053.01441137308,0
22,1022,Surname_22,693,France,Male,19,2,144561.129993795,3,0,0,132096.35041951347,0
23,1023,Surname_23,791,Germany,Female,37,0,204314.2409085358,2,1,0,120751.81607819564,0
24,1024,Surname_24,731,Spain,Male,76,8,227229.51077904584,1,0,0,145778.3309201205,0
25,1025,Surname_25,706,Spain,Female,32,6,207807.6942144413,2,0,0,197752.8772067434,0
26,1026,Surname_26,733,Spain,Male,44,1,73144.09356054117,3,0,1,156240.338216085,0
27,1027,Surname_27,435,Germany,Female,22,3,156725.9732831752,1,1,1,10886.584809488191,1
28,1028,Surname_28,425,France,Female,46,8,235906.28056455957,1,0,1,164030.19639972466,0
29,1029,Surname_29,679,Spain,Male,81,0,85328.54322704086,1,1,1,106226.69983908467,1
30,1030,Surname_30,609,France,Female,38,1,94461.6742312673,1,1,0,11559.440085686778,0
31,1031,Surname_31,754,Spain,Female,27,2,216748.3543588885,2,1,0,50473.015943983795,1
32,1032,Surname_32,692,Spain,Female,76,3,175134.48044077316,1,0,0,105612.51420563046,0
33,1033,Surname_33,736,France,Male,71,3,76880.44058297855,2,0,1,3861.892982684922,1
34,1034,Surname_34,520,France,Female,85,6,51336.42415736381,1,1,0,130722.55756806568,0
35,1035,Surname_35,644,Spain,Male,59,6,89984.0323616187,3,1,1,64923.41918021023,0
36,1036,Surname_36,470,Germany,Female,61,3,97400.03168166803,2,1,0,44892.350885483764,1
37,1037,Surname_37,503,Germany,Male,33,0,23656.065431092,3,1,1,128767.7622364581,1
38,1038,Surname_38,486,France,Male,35,4,170245.87262681674,2,1,0,99522.55055814708,1
39,1039,Surname_39,554,Germany,Female,75,0,98362.55067656835,2,0,1,161560.95587838782,1
40,1040,Surname_40,534,Germany,Female,27,2,77338.684105212,1,0,0,157361.90558864953,1
41,1041,Surname_41,566,France,Male,51,8,182956.37077620844,3,1,0,58293.7192073524,0
42,1042,Surname_42,414,Germany,Female,88,2,61527.67332583544,2,1,0,108583.26755076004,0
43,1043,Surname_43,625,France,Female,38,9,42643.00235798823,2,0,1,162706.08686288822,0
44,1044,Surname_44,419,Spain,Female,53,7,242453.79689008064,2,1,1,140680.05122681637,0
45,1045,Surname_45,835,Germany,Male,35,8,174447.30984881063,2,1,0,100989.74789010856,1
46,1046,Surname_46,747,Germany,Female,35,5,159674.0206553906,3,0,1,154300.3425893492,0
47,1047,Surname_47,513,France,Male,60,1,87797.12635007614,3,0,1,83934.58928015319,1
48,1048,Surname_48,793,Germany,Female,66,8,125176.90621667127,3,0,1,112285.4537010746,0
49,1049,Surname_49,613,Germany,Female,79,9,134181.25903976112,1,1,1,25888.46603526495,0
50,1050,Surname_50,451,France,Female,83,8,198033.05577934175,3,0,0,54545.74006193675,1
51,1051,Surname_51,829,Germany,Male,73,1,10823.941899146317,3,1,0,116315.90142589065,0
52,1052,Surname_52,509,France,Male,72,1,88928.4359993561,1,0,0,15560.995394215202,1
53,1053,Surname_53,666,Spain,Male,22,8,244847.07439337778,1,1,1,84852.06050057054,1
54,1054,Surname_54,531,France,Female,70,4,231400.96813209672,1,1,0,119994.84626652216,0
55,1055,Surname_55,837,France,Male,31,4,234596.26905684036,3,0,1,98021.85091763598,1
56,1056,Surname_56,434,France,Male,46,9,164482.93389367522,3,0,0,12812.310930318381,1
57,1057,Surname_57,785,Germany,Female,59,1,132312.80667588167,2,0,1,44786.83517000911,1
58,1058,Surname_58,656,Germany,Male,43,9,132738.56890065674,1,0,1,143009.96510133403,1
59,1059,Surname_59,745,Spain,Female,70,9,63979.98748070782,1,1,1,66892.49205617387,1
60,1060,Surname_60,536,Spain,Female,23,5,93395.49772250897,3,0,0,17259.437330664798,0
61,1061,Surname_61,760,Spain,Female,76,7,24633.874807320655,1,1,0,116865.92660002092,0
62,1062,Surname_62,656,Germany,Male,25,5,158153.76558183736,2,1,1,65682.68934771225,1
63,1063,Surname_63,728,Spain,Female,23,5,229701.96934355132,1,1,1,108944.14072285288,0
64,1064,Surname_64,549,Germany,Male,22,6,222894.1564930887,2,1,1,170427.56810586914,1
65,1065,Surname_65,472,Spain,Male,89,1,107424.60523540295,3,0,0,58171.504723606406,1
66,1066,Surname_66,708,Spain,Male,58,3,110262.65542825825,2,0,1,30502.0852393659,0
67,1067,Surname_67,556,France,Male,41,5,236491.66038364047,3,0,1,146687.9811252442,0
68,1068,Surname_68,526,Germany,Female,68,2,233914.984959168,2,0,1,183458.5628227428,0
69,1069,Surname_69,661,Germany,Female,44,4,163172.85624595752,3,0,0,41912.6402986516,0
70,1070,Surname_70,471,Spain,Female,43,6,195408.49109245764,1,1,0,7374.361674755479,0
71,1071,Surname_71,689,France,Male,85,6,141976.0735443191,2,0,0,77188.17105329774,0
72,1072,Surname_72,824,Spain,Female,59,0,150901.81126632687,2,1,0,129917.40379372469,1
73,1073,Surname_73,636,Spain,Female,81,4,189026.64850375117,2,1,1,92397.12703338837,1
74,1074,Surname_74,765,Germany,Male,25,4,208957.21397315917,3,0,1,41328.00652024402,1
75,1075,Surname_75,824,France,Male,72,1,89594.16380230403,2,0,0,63557.52034677963,0
76,1076,Surname_76,467,Spain,Male,37,2,73869.58107672712,1,0,1,21365.699620937386,1
77,1077,Surname_77,633,Spain,Female,78,8,117065.58012236953,1,0,0,67079.7931558453,1
78,1078,Surname_78,623,France,Female,71,8,2520.594877448823,3,1,1,77896.43071134404,1
