RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,725,Spain,Female,25,6,170474.12023542245,3,1,0,77075.40697331754,0
1,1001,Surname_1,446,Germany,Male,48,3,118461.4275006827,3,0,1,23992.804465914942,0
2,1002,Surname_2,607,Spain,Male,57,5,128742.95845940293,2,1,0,120411.76098183633,0
3,1003,Surname_3,551,France,Female,28,0,97212.92920012698,3,0,0,86591.4201800145,1
4,1004,Surname_4,438,Spain,Male,63,7,165774.03789281647,2,0,0,33137.63789490321,1
5,1005,Surname_5,612,Germany,Female,80,0,242101.02959858222,2,0,0,10401.0968747468,1
6,1006,Surname_6,414,France,Female,29,2,4839.928386617398,2,0,0,49610.9641126128,0
7,1007,Surname_7,753,Spain,Female,43,1,175511.3108147319,2,1,0,121447.21034152329,0
8,1008,Surname_8,548,Germany,Female,38,0,108447.19373089226,2,0,0,35445.822958869685,0
9,1009,Surname_9,711,France,Female,19,7,22811.164984458872,2,1,0,126905.60967719411,0
10,1010,Surname_10,480,Germany,Female,85,6,187008.80107638316,2,0,1,80715.16743101782,0
11,1011,Surname_11,760,France,Male,52,7,154889.27806063727,2,0,0,32321.17415755103,0
12,1012,Surname_12,407,Germany,Female,77,9,151504.4050040119,3,1,0,19612.011670537682,1
13,1013,Surname_13,678,France,Male,45,9,144548.18458632342,2,1,0,96717.50556250726,1
14,1014,Surname_14,488,France,Male,73,0,67939.02141925867,2,1,0,48757.243378601335,0
15,1015,Surname_15,629,France,Male,64,6,113354.60579854745,1,1,1,135140.10807607835,1
16,1016,Surname_16,524,Spain,Male,60,5,187201.6528189656,1,0,1,36691.02524809383,0
17,1017,Surname_17,755,France,Female,82,7,65526.21524869559,2,0,0,66927.55332227443,0
18,1018,Surname_18,702,Germany,Male,87,2,127769.88541394177,1,1,0,62794.69189809645,0
