RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1000,Surname_0,672,France,Male,42,1,123040.80202239557,2,1,0,78371.10634918224,1
1,1001,Surname_1,685,France,Male,77,6,43037.46543213543,3,0,1,51010.31984145168,1
2,1002,Surname_2,496,Germany,Male,68,3,38182.81420064676,3,0,0,100057.27263396714,0
3,1003,Surname_3,478,France,Male,62,2,174038.60297308554,2,0,1,26188.493053803042,1
4,1004,Surname_4,503,France,Female,37,0,120523.28784167362,2,1,0,140110.37347189125,0
5,1005,Surname_5,517,France,Male,82,7,140520.7669701887,1,0,0,143385.4171991832,0
6,1006,Surname_6,647,Spain,Male,89,5,237903.34005838723,2,0,1,8052.9392977643465,1
7,1007,Surname_7,424,Germany,Female,41,4,91503.36070676468,3,1,1,2196.643615936685,1
8,1008,Surname_8,564,Spain,Female,89,2,15754.701418458917,2,0,0,59015.63390313813,1
9,1009,Surname_9,427,France,Female,61,8,48639.428798587316,3,0,1,100270.65882438835,1
10,1010,Surname_10,435,France,Male,31,2,170194.919986757,1,1,0,126000.90665413994,1
11,1011,Surname_11,716,Germany,Female,89,7,76073.3589182091,2,1,1,188694.32233717,1
12,1012,Surname_12,849,Spain,Male,44,4,97660.96045185138,3,1,1,183079.91623752256,0
13,1013,Surname_13,724,France,Female,27,9,22705.21580703533,2,0,0,80763.29155731219,1
14,1014,Surname_14,523,France,Female,77,9,30011.5104531862,1,1,0,53419.83552185562,0
15,1015,Surname_15,749,France,Female,21,6,59103.498147270395,1,0,1,192377.44579734182,1
16,1016,Surname_16,825,France,Male,47,0,59581.7175201534,1,1,1,158722.1574062788,0
17,1017,Surname_17,736,Spain,Male,42,7,142213.77550481335,2,1,0,97323.67456009908,1
18,1018,Surname_18,400,Spain,Female,50,8,207423.76431809686,3,1,0,43080.91513206043,1
19,1019,Surname_19,795,Germany,Female,87,9,78915.03905827715,3,1,1,47808.11764808455,0
20,1020,Surname_20,645,Germany,Female,37,5,175055.45159271054,2,0,1,59986.227433299624,0
21,1021,Surname_21,662,Germany,Male,54,8,141974.5289237839,1,1,1,166172.7687269652,0
22,1022,Surname_22,633,Spain,Male,48,6,82893.36136303227,1,1,0,135179.97076470783,0
23,1023,Surname_23,620,Germany,Female,55,0,149217.7989688399,1,1,0,111824.13211204579,0
24,1024,Surname_24,424,Germany,Male,47,1,202765.88203716622,2,1,1,190613.36245175987,1
25,1025,Surname_25,624,Germany,Male,75,1,85742.4625809983,3,0,0,121516.20575961775,0
26,1026,Surname_26,607,Spain,Female,69,6,143792.2004422592,1,0,1,189491.02517373094,0
27,1027,Surname_27,583,Spain,Female,47,3,93815.76525855226,3,1,0,17478.287212087667,0
28,1028,Surname_28,664,Spain,Male,32,8,111121.44839861713,1,1,0,87120.2113473694,1
29,1029,Surname_29,640,France,Male,69,9,65936.80422412978,2,1,1,190524.13151458508,0
30,1030,Surname_30,695,France,Female,23,8,80776.52807461763,1,1,0,123608.99384306582,1
31,1031,Surname_31,708,Germany,Female,20,2,37773.83806935791,3,0,1,54193.90745331307,1
32,1032,Surname_32,488,Germany,Female,81,7,73162.26287778915,1,0,0,184467.20712989333,0
33,1033,Surname_33,543,Germany,Male,89,8,127600.52526646099,3,0,0,16656.245591466064,1
34,1034,Surname_34,453,France,Female,38,6,226983.77129314345,1,1,1,121644.41222485079,1
35,1035,Surname_35,679,Germany,Male,31,2,207249.67104546065,1,0,1,40414.515996997456,1
36,1036,Surname_36,831,France,Female,78,2,103989.28626586609,1,1,1,39535.583076351395,1
37,1037,Surname_37,715,Spain,Female,23,3,20866.203277305067,2,0,0,134477.34119511867,1
38,1038,Surname_38,416,Germany,Male,89,3,245849.0501385616,3,1,0,134587.538402636,0
39,1039,Surname_39,677,Germany,Male,62,7,233998.98350175453,3,1,0,169162.8876264961,1
40,1040,Surname_40,458,Germany,Female,22,9,213829.25105303028,3,1,0,126341.40111322176,1
41,1041,Surname_41,750,France,Female,71,5,231752.08947218297,1,0,1,34127.57766292835,1
42,1042,Surname_42,832,France,Male,43,1,105823.16360461658,2,0,0,41542.21129548545,0
43,1043,Surname_43,645,Spain,Male,64,4,224456.4819056464,1,1,1,72247.12299101232,1
44,1044,Surname_44,830,France,Male,61,0,64760.75209795209,2,0,1,142794.65264808692,1
45,1045,Surname_45,497,Germany,Female,37,7,26066.652284718108,2,0,1,168959.61364194858,1
46,1046,Surname_46,487,Germany,Male,21,2,248463.2404214256,3,0,0,56894.30848520175,0
47,1047,Surname_47,586,France,Female,29,1,122265.76749310041,3,1,1,153698.65587174456,1
48,1048,Surname_48,796,Germany,Male,42,5,39516.896101938124,1,1,1,61141.90689622581,0
49,1049,Surname_49,546,Spain,Male,77,8,170250.38050747372,2,1,1,77424.90036132724,0
50,1050,Surname_50,526,France,Female,40,7,182512.81285903312,3,0,0,34771.17483401858,0
51,1051,Surname_51,699,Germany,Female,19,8,148160.2508581722,1,1,0,92531.32521303065,1
52,1052,Surname_52,538,Germany,Female,51,1,121584.4227603598,3,0,1,114700.46652449551,0
53,1053,Surname_53,848,Spain,Male,25,5,151912.37389645152,2,0,0,31786.133914448677,1
54,1054,Surname_54,798,Germany,Male,51,2,171653.22097317976,2,1,1,94717.91891997033,0
55,1055,Surname_55,748,France,Male,68,0,76063.78692443114,1,0,1,142287.6766742834,0
56,1056,Surname_56,488,Germany,Female,32,3,3740.954932629242,3,0,1,116719.20980507614,1
57,1057,Surname_57,602,Germany,Male,22,9,29498.274192845063,3,1,0,10295.969744335585,1
58,1058,Surname_58,483,France,Female,79,9,230690.65206596738,3,0,0,74730.12567270803,1
59,1059,Surname_59,545,Germany,Female,42,5,65047.40045176785,3,0,0,108881.65147302882,0
60,1060,Surname_60,774,Germany,Female,75,8,37212.268043409545,3,1,1,43610.52835108993,0
61,1061,Surname_61,606,Germany,Male,43,4,11067.879819195492,1,1,0,184083.9712136876,1
62,1062,Surname_62,508,France,Male,74,8,70842.67989995652,3,0,0,86351.78559966017,0
63,1063,Surname_63,635,France,Male,45,1,237322.74675482546,1,0,0,120841.75884946242,0
64,1064,Surname_64,417,Germany,Female,56,0,67191.8480955512,1,0,1,116907.93473866212,1
65,1065,Surname_65,842,Spain,Male,41,2,68499.38456550104,2,0,1,40872.70706578091,0
66,1066,Surname_66,768,Spain,Male,61,5,232114.7784451213,1,0,1,135602.5719798091,1
67,1067,Surname_67,415,Spain,Male,27,9,74251.86259297389,3,1,0,178011.44382824816,0
68,1068,Surname_68,648,France,Female,24,8,92804.51181753102,1,1,1,179045.54646509542,1
69,1069,Surname_69,608,Germany,Male,54,5,231823.01525305372,3,0,0,128457.12568986221,0
70,1070,Surname_70,517,Germany,Female,36,3,1658.307921918456,2,0,0,95151.5862512312,1
71,1071,Surname_71,665,Germany,Male,81,1,156142.604586984,3,1,1,38882.952085993544,1
72,1072,Surname_72,574,Germany,Male,75,4,106455.04701016759,2,1,1,125837.24995524889,1
73,1073,Surname_73,825,Germany,Male,31,0,120237.92655175838,1,0,0,101975.21894182447,1
74,1074,Surname_74,469,Germany,Female,38,1,116929.86775839458,3,1,0,3520.740342811858,1
75,1075,Surname_75,460,Spain,Female,38,8,203727.97876610365,2,0,0,182340.88640731713,1
76,1076,Surname_76,472,Germany,Female,58,7,238951.17291492256,2,1,1,81998.61000895295,1
77,1077,Surname_77,473,France,Male,88,6,21720.65501628387,3,1,1,164769.07106688464,0
78,1078,Surname_78,760,France,Female,50,3,153278.61262013402,1,1,1,106646.28122145572,1
79,1079,Surname_79,614,France,Male,71,0,115585.34434233683,1,1,1,166332.35070982057,1
80,1080,Surname_80,687,Spain,Female,27,1,114813.98912548588,2,0,1,78790.42680150249,0
81,1081,Surname_81,683,Spain,Female,79,1,136932.8430737811,3,0,0,22716.472992793333,1
82,1082,Surname_82,787,Germany,Male,19,2,154956.88497941862,3,1,0,135344.76055702675,1
83,1083,Surname_83,679,Germany,Male,48,2,128247.8346522466,2,0,0,194028.45612617442,0
84,1084,Surname_84,601,Spain,Male,55,7,1396.3076124550166,1,0,0,149375.04552307117,1
85,1085,Surname_85,479,France,Female,45,7,101679.9648583998,3,0,0,134102.12485975228,0
86,1086,Surname_86,685,France,Male,23,8,218102.09675316457,2,1,1,115953.47728962843,1
87,1087,Surname_87,742,France,Male,56,4,127686.13719899063,2,0,1,35209.012726485766,0
88,1088,Surname_88,735,France,Male,35,9,215147.2062332779,2,1,1,25891.8468182777,0
89,1089,Surname_89,601,France,Female,84,2,163123.84532474758,3,1,1,164630.8429144882,1
90,1090,Surname_90,605,France,Male,24,2,111028.99838301427,2,0,0,171357.63430948116,1
91,1091,Surname_91,549,Spain,Female,47,9,75934.18806009827,2,0,0,37844.18035131358,0
92,1092,Surname_92,842,France,Male,62,8,132863.89870238057,2,1,1,133145.16467790166,0
93,1093,Surname_93,404,Spain,Male,28,9,94538.52388303106,1,1,1,30402.290877052965,0
94,1094,Surname_94,785,France,Male,32,5,233751.6762402857,2,1,1,107107.04684748105,0
95,1095,Surname_95,819,France,Female,79,3,123884.99850782305,3,1,0,195029.00022283455,1
96,1096,Surname_96,722,Germany,Male,18,6,210178.48060896908,1,1,0,60943.86831165919,0
97,1097,Surname_97,676,Spain,Female,18,8,209393.79676715782,3,1,1,152649.15486959286,0
98,1098,Surname_98,578,Germany,Male,76,6,133927.75228511987,2,1,0,24951.400288456676,1
99,1099,Surname_99,582,France,Female,34,3,126413.14098672407,2,1,1,151823.54021629426,0
